sampleID,latitude,longitude,ecosystem (terrestrial/freshwater/marine),urban_rural,sampling methods,value,group,scaled_value
TI88_3,13.01,129.96,Marine,NA,active,0.00833,abundance,0.003602689
TI88_30,11.48,138.82,Marine,NA,active,0,abundance,0
TI88_31,22.96,126.36,Marine,NA,active,0.01389,abundance,0.00599084
TI88_32,34.58,122.4,Marine,NA,active,0.00694,abundance,0.003003593
TI88_4,15.75,129.95,Marine,NA,active,0.01389,abundance,0.00599084
TI88_5,18.01,129.98,Marine,NA,active,0.00521,abundance,0.0022568
TI88_6,20,126.99,Marine,NA,active,0.01389,abundance,0.00599084
TI88_7,16.02,128.88,Marine,NA,active,0.00926,abundance,0.004003061
TI88_8,10.02,129.96,Marine,NA,active,0,abundance,0
TI88_9,11.15,141.31,Marine,NA,active,0.01389,abundance,0.00599084
TI89_2,22.75,121.15,Terrestrial,urban,active,28,abundance,1.462397998
TI91_2,40.63,-8.65,Terrestrial,urban,active,12,abundance,1.113943352
